ensembl_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,SYMBOL
ENSG00000003096,20018.40136218847,2.6531243398105047,0.076852308178609,7.141781808633904e-263,1.0917300287380846e-259,KLHL13
ENSG00000003137,25571.661875545255,1.9932191769062224,0.08331214844962598,1.0207301032355377e-127,4.078164738597531e-125,CYP26B1
ENSG00000003436,18459.694194211734,2.595289554764195,0.08175361679851739,1.5179427756079278e-222,1.569686766105857e-219,TFPI
ENSG00000007908,57.425092488586195,9.760320605752378,3.2374642029555725,2.5071665512657753e-7,1.8751216502010933e-6,SELE
ENSG00000008086,14624.647032514844,1.8330029992269459,0.0948481090586785,1.8764565117182803e-84,3.644990856105139e-82,CDKL5
ENSG00000008311,493.3150873385701,1.533042451891454,0.5523690034921142,2.658244437626614e-4,0.0012894759407079764,AASS
ENSG00000012822,34024.835102291676,1.8344092132193899,0.06088887067259058,1.4493481606385475e-200,1.1077746082584933e-197,CALCOCO1
ENSG00000014257,8249.045315142665,1.7520085576614046,0.12892183700933135,3.123627783679352e-43,2.076061044355054e-41,ACPP
ENSG00000023839,8191.438640484838,1.7746513469996785,0.1250173616500398,5.361989536534224e-47,4.045540560407871e-45,ABCC2
ENSG00000026950,1524.1657001068593,3.4963428554185407,0.47241520103837326,6.5880925555293735e-15,9.848246010198011e-14,BTN3A1
ENSG00000047617,478.7273733963379,2.647729476920689,0.5490168229424311,6.463009663814756e-8,5.184416079627265e-7,ANO2
ENSG00000048540,504.3573452002882,1.5039328478814489,0.5090180117674461,1.564345777703665e-4,7.884293749753892e-4,LMO3
ENSG00000049192,812.5220131989743,1.847969621406992,0.4125403348314736,4.028942466325153e-7,2.939480974756714e-6,ADAMTS6
ENSG00000050405,54825.08288810371,1.9730311045675708,0.060915941533587994,2.316902850374174e-231,2.5456246036345495e-228,LIMA1
ENSG00000058085,22291.862125049214,2.5815884360148043,0.07830616764957354,8.349136693771261e-240,1.0483832036296562e-236,LAMC2
ENSG00000064787,60143.21652166486,2.485169751707706,0.05652476102450846,0,0,BCAS1
ENSG00000064835,153.95887794891888,2.7118334514709663,2.3722383858976817,0.0024959184175803767,0.009919068118425281,POU1F1
ENSG00000065618,908.1349646956011,3.3020845358431306,0.4414419914206849,3.8094777667387995e-15,5.793141384116326e-14,COL17A1
